,ACB.TO
name,Aurora Cannabis Inc.
beta,1
Div_Beta,
total_return,
R_Beta,
Price_Cap,9.8756650065481e-10
Outstanding_Cap,0.0
one_pe,
currency,CAD
perc_change,-0.44273397
fiftyDayAverage,9.988889
trailingPE,
forwardPE,-129.28572
marketcap,9163939840
priceToBook,2.0929697
price,9.05
sourceInterval,15
quoteType,EQUITY
avgchg200day,-1.3777695
avgpctchg200day,-0.13212503
dividend yield,
shares outstanding,0
dividend,
